"id";"nombre";"marca";"detalles";"proveedor";"costo";"precio";"imagen";"categoria"
2;"Churro Sabritas";"Sabritas";"Churro Variado";"PRICESMART";4.90;8.00;"";"O"
1;"Churro Frito Lay";"Frito Lay";"Churro de importación";"PRICESMART";7.40;10.00;"resources/imgs/productos/FritoLays.jpg";"O"
3;"CocaCola ";"CocaCola ";"600ml";"PRICESMART";11.40;15.00;"";"O"
4;"Te Lipton";"Lipton";"500ml";"PRICESMART";13.00;18.00;"";"O"
5;"Galleta Oreo";"Oreo";"Presentación de 4 galletas";"PRICESMART";3.70;8.00;"";"O"
6;"Marshmellow";"Angelitos";"Bolsita de mini-marshmellows";"PRICESMART";2.10;5.00;"";"O"
7;"Air Head Little";"Air Head";"Presentación pequeña";"ALMACENES XTRA";3.40;5.00;"";"O"
8;"Galleta Bridge";"Bridge";"Galletas variadas tipo wafle";"ALMACENES XTRA";2.90;6.00;"";"O"
9;"Paleta Jolly Rancher";"Jolly Rancher";"Paleta variada en forma de corazón";"ALMACENES XTRA";3.20;5.00;"";"O"
10;"Jugo Del Monte";"Del Monte";"Presentación en lata";"PRICESMART";7.50;10.00;"";"R"
11;"Rice Krispies Treats";"Rice Krispy";"Presentación tres sabores";"PRICESMART";6.12;9.00;"";"D"
12;"Yogurt Yoplait";"Yoplait";"Presentación Bebible";"PRICESMART";6.60;10.00;"";"O"
13;"Nieve de Fruta";"27 Siete";"Juguitos congelados con sabor a fruta";"PRICESMART";2.50;5.00;"";"D"
